label,en,fr,de,it,es,ca,pl,uk,ru,zh,ja,vi,el
COMMON_PLAYERS,Players,Joueurs,Spieler,Giocatori,Jugadores,Jugadors,Gracze,Гравці,Игроки,玩家,プレイヤー,Người chơi,Παίκτες
COMMON_GAMES,Games,Jeux,Spiele,Giochi,Juegos,Jocs,Zawody sportowe,Ігри,Игры,游戏,ゲーム,Trò chơi,Παιχνίδια
MENU_CONFIG_CONTENT_ENCODING,Encoding,Codage,Codierung,Codifica,Codificación,Codificació,Kodowanie,Кодування,Кодирование,编码,エンコーディング,Mã hóa,Κωδικοποίηση
MENU_CONFIG_CONTENT_LANGUAGE,Language,Langue,Sprache,Lingua,Idioma,Llengua,Język,Мова,Язык,语言,言語,Ngôn ngữ,Γλώσσα
MENU_CONFIG_CONTENT_SPLASH,Splash screen,Écran de démarrage,Begrüßungsbildschirm,Schermata iniziale,Pantalla de bienvenida,Pantalla inicial,Ekran powitalny,Заставка,Заставка экрана,启动画面,スプラッシュスクリーン,Màn hình chào mừng,Οθόνη πιτσιλίσματος
MENU_CONFIG_LABEL,settings,paramètres,Einstellungen,impostazioni,ajustes,configuracions,Ustawienia,налаштування,настройки,设置,設定,cài đặt,ρυθμίσεις
MENU_CONFIG_SUCCESS,Configuration applied,Configuration appliquée,Konfiguration angewendet,Configurazione applicata,Configuración aplicada,Configuració aplicada,Zastosowano konfigurację,Конфігурація застосована,Конфигурация применена,配置已应用,適用された構成,Cấu hình được áp dụng,Εφαρμόστηκε διαμόρφωση
MENU_CONFIG_FAIL,Configuration not applied,Configuration non appliquée,Konfiguration nicht angewendet,Configurazione non applicata,Configuración no aplicada,Configuració no aplicada,Konfiguracja nie została zastosowana,Конфігурація не застосована,Конфигурация не применена,未应用配置,設定は適用されませんでした,Cấu hình không được áp dụng,Η διαμόρφωση δεν εφαρμόστηκε
MENU_CONFIG_RESTART,Restart the program to apply the new configuration,Redémarrez le programme pour appliquer la nouvelle configuration,"Starten Sie das Programm neu, um die neue Konfiguration anzuwenden",Riavviare il programma per applicare la nuova configurazione,Reinicie el programa para aplicar la nueva configuración,Reinicieu el programa per aplicar la nova configuració,"Uruchom ponownie program, aby zastosować nową konfigurację","Перезапустіть програму, щоб застосувати нову конфігурацію","Перезапустите программу, чтобы применить новую конфигурацию.",重新启动程序以应用新配置,新しい設定を適用するにはプログラムを再起動してください,Khởi động lại chương trình để áp dụng cấu hình mới,Επανεκκινήστε το πρόγραμμα για να εφαρμόσετε τη νέα διαμόρφωση
MENU_PLAYER_CONTENT_LIST,Show player list,Afficher la liste des joueurs,Spielerliste anzeigen,Mostra l'elenco dei giocatori,Mostrar lista de jugadores,Mostra la llista de jugadors,Pokaż listę graczy,Показати список гравців,Показать список игроков,显示玩家列表,プレイヤーリストを表示,Hiển thị danh sách người chơi,Εμφάνιση λίστας παικτών
MENU_PLAYER_CONTENT_ADD,Add a player,Ajouter un joueur,Einen Spieler hinzufügen,Aggiungi un giocatore,Agregar un jugador,Afegeix un jugador,Dodaj gracza,Додайте гравця,Добавить игрока,添加玩家,プレイヤーを追加する,Thêm một người chơi,Προσθέστε έναν παίκτη
MENU_PLAYER_CONTENT_REMOVE,Delete a player,Supprimer un joueur,Einen Spieler löschen,Elimina un giocatore,Eliminar un jugador,Eliminar un jugador,Usuń gracza,Видалити гравця,Удалить игрока,删除一名玩家,プレーヤーを削除する,Xóa một người chơi,Διαγραφή παίκτη
MENU_PLAYER_INPUT_NAME,New player name,Nouveau nom du joueur,Neuer Spielername,Nuovo nome del giocatore,Nuevo nombre de jugador,Nom del jugador nou,Nowa nazwa gracza,Нове ім'я гравця,Новое имя игрока,新玩家名称,新しいプレイヤー名,Tên người chơi mới,Όνομα νέου παίκτη
MENU_PLAYER_INPUT_NUMBER,Player number to delete,Numéro du joueur à supprimer,Zu löschende Spielernummer,Numero del giocatore da eliminare,Número de jugador a eliminar,Número de jugador a esborrar,Numer gracza do usunięcia,Номер гравця для видалення,Номер игрока для удаления,要删除的玩家号码,削除するプレイヤー番号,Số cầu thủ cần xóa,Αριθμός παίκτη για διαγραφή
MENU_PLAYER_RESULT_ADDED,has been added,a été ajouté,wurde hinzugefügt,è stato aggiunto,Se ha añadido,s'ha afegit,został dodany,було додано,был добавлен,已添加,が追加されました,đã được thêm vào,έχει προστεθεί
MENU_PLAYER_RESULT_DELETED,has been deleted,a été supprimé,wurde gelöscht,è stato cancellato,ha sido eliminado,s'ha suprimit,został usunięty,було видалено,был удален,已被删除,削除されました,đã bị xóa,έχει διαγραφεί
MENU_PLAYER_LABEL,players,joueurs,Spieler,giocatori,jugadores,jugadors,gracze,гравців,игроки,玩家,選手たち,người chơi,παίκτες
MENU_CHOICE_PLAYER,Players,Joueurs,Spieler,Giocatori,Jugadores,Jugadors,Gracze,Гравці,Игроки,玩家,プレイヤー,Người chơi,Παίκτες
MENU_CHOICE_QUIT,Quit,Quitter,Aufhören,Esentato,Abandonar,Surt,Zrezygnować,Вийти,Покидать,辞职,やめる,Từ bỏ,Εγκαταλείπω
MENU_CHOICE_SETTINGS,Settings,Paramètres,Einstellungen,Impostazioni,Ajustes,Configuració,Ustawienia,Налаштування,Настройки,设置,設定,Cài đặt,Ρυθμίσεις
MENU_TEXT,Choose a game mode,Choisissez un mode de jeu,Wähle einen Spielmodus,Scegli una modalità di gioco,Elige un modo de juego,Trieu un mode de joc,Wybierz tryb gry,Виберіть режим гри,Выберите режим игры,选择游戏模式,ゲームモードを選択する,Chọn chế độ chơi,Επιλέξτε μια λειτουργία παιχνιδιού
GAME_NOTFINISHED,This game is not finished,Ce jeu n'est pas terminé,Dieses Spiel ist noch nicht fertig,Questo gioco non è finito,Este juego no está terminado,Aquest joc no s'ha acabat,Ta gra nie jest skończona,Ця гра не закінчена,Эта игра не закончена.,这个游戏尚未结束,このゲームはまだ終わっていない,Trò chơi này chưa kết thúc,Αυτό το παιχνίδι δεν έχει τελειώσει
_GAME_CLOSEDBATTLE_NAME,Closed Battle,Bataille fermée,Geschlossener Kampf,Battaglia chiusa,Batalla cerrada,Batalla tancada,Zamknięta bitwa,Закритий бій,Закрытый бой,封闭式战斗,クローズドバトル,Trận chiến khép kín,Κλειστή Μάχη
_GAME_CLOSEDBATTLE_ROUND,Round,Rond,Runden,Girare,Redondo,Ronda,Okrągły,Круглий,Круглый,圆形的,ラウンド,Tròn,Γύρω
_GAME_CLOSEDBATTLE_WINNER,is winner,est gagnant,ist Gewinner,è il vincitore,es ganador,és el guanyador,jest zwycięzcą,є переможцем,победитель,是赢家,勝者です,là người chiến thắng,είναι νικητής
_GAME_SOLITARY_NAME,Solitaire,Solitaire,Solitär,Solitario,Solitario,Solitari,Pasjans,Пасьянс,Пасьянс,纸牌,ソリティア,Bài đơn độc,Πασιέντζα
_GAME_PECKERLADY_NAME,The Queen of Spades,La Dame de Pique,Die Pik-Dame,La regina di picche,La reina de espadas,La reina de piques,Dama Pikowa,Пікова дама,Пиковая дама,黑桃皇后,スペードの女王,Nữ hoàng Bích,Η Βασίλισσα των Μπαστούνι
_GAME_CHICKENSHIT_NAME,The Lousy One,Le minable,Der Miese,Il pessimo,El pésimo,El Pistó,Ten kiepski,Паршивий,Паршивый,糟糕的人,ひどい人,Người Tệ Hại,Ο άθλιος
_GAME_LIAR_NAME,The Liar,Le menteur,Der Lügner,Il bugiardo,El mentiroso,El mentider,Kłamca,Брехун,Лжец,骗子,嘘つき,Kẻ nói dối,Ο Ψεύτης
_GAME_HEIGHTAMERICAN_NAME,An 8 American,Un 8 américain,Ein 8-Amerikaner,Un 8 americano,Un americano de 8 años,Un 8 americà,8 Amerykanin,8 американець,8 американец,8 美国人,8アメリカン,Một người Mỹ thứ 8,Ένας 8 Αμερικανός
